Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Occupation,Social Classification
http://www.wikidata.org/entity/Q43392555,Niniane Chirneyside,Edinburgh,-3.198888888,55.95,Male,Domestic Worker,Middling
http://www.wikidata.org/entity/Q43390189,George Fraser,Oathlaw,-2.858838,56.695459,Male,Farmer,Middling
http://www.wikidata.org/entity/Q43392897,Michael Clark,Lasswade,-3.11667,55.8833,Male,Metalsmith,Middling
http://www.wikidata.org/entity/Q43395974,Bell,Glasgow,-4.27,55.87,Female,Midwife,Middling
http://www.wikidata.org/entity/Q43391136,John Homme,Haddington,-2.78332,55.95612,Male,Miller,Middling
http://www.wikidata.org/entity/Q43395196,Jean Ross,Paisley,-4.433333333,55.85,Female,School Master,Middling
http://www.wikidata.org/entity/Q43395037,Johne McWilliam,Dumbarton,-4.547222222,55.94861111,Male,Slater,Middling
http://www.wikidata.org/entity/Q43391860,Nicol Murray,Haddington,-2.78332,55.95612,Male,Tailor,Middling
http://www.wikidata.org/entity/Q43392147,John Fean,"Preston, East Lothian",-2.979,55.9547,Male,Teacher,Middling
http://www.wikidata.org/entity/Q43395192,John Hislop,Crichton,-2.98249,55.8471,Male,Weaver,Middling
http://www.wikidata.org/entity/Q43396213,Donald McAndro Moir,Elgin,-3.315277777,57.64638889,Male,Weaver,Middling
http://www.wikidata.org/entity/Q43392605,John McReadie,Rumbleton,-2.494559,55.702755,Male,Weaver,Middling
http://www.wikidata.org/entity/Q43395138,John Graham,Peebles,-3.18,55.65,Male,Weaver,Middling
http://www.wikidata.org/entity/Q43395699,Margrat Cleraucht,Aberdeen,-2.1,57.15,Female,Domestic Worker,Pauper
http://www.wikidata.org/entity/Q43393501,Beak Bein Ean Duy Vic Finley,Buntoit,-4.664676,57.340454,Male,Domestic Worker,Pauper
http://www.wikidata.org/entity/Q43395644,Christane Hendersoune,Foveran,-2.03483,57.2994,Female,Henwife,Pauper
http://www.wikidata.org/entity/Q43394214,William Scottie,Black Holm,-2.7,58.9,Male,Vagrant,Pauper
http://www.wikidata.org/entity/Q43394119,Agnes Scottie,Orkney Islands,-3,59,Female,Vagrant,Pauper
http://www.wikidata.org/entity/Q43394161,Helen Isbuster,Orkney Islands,-3,59,Female,Vagrant,Pauper
http://www.wikidata.org/entity/Q43395752,Donald McIllmichall,Inveraray,-5.073,56.231,Male,Vagrant,Pauper
http://www.wikidata.org/entity/Q43395627,Margaret King,Ellon,-2.086,57.366,Female,Vagrant,Pauper
http://www.wikidata.org/entity/Q43394144,Jonet Rendall,Rendall,-3.05972,59.0683,Female,Vagrant,Pauper
http://www.wikidata.org/entity/Q43389917,Thomas Carlipis,Dumbarton,-4.547222222,55.94861111,Male,Domestic Worker,Upper Class
http://www.wikidata.org/entity/Q43395252,Richard Halywall,Selkirk,-2.833333333,55.53333333,Male,Merchant,Upper Class
http://www.wikidata.org/entity/Q43392885,Cowie,Bowness,-1.8348,57.4161,Female,Brewster,Working Poor
http://www.wikidata.org/entity/Q43395831,David Roy,Perth,-3.431666666,56.39527778,Male,Cook,Working Poor
http://www.wikidata.org/entity/Q43393474,John Hay,Tain,-4.0567,57.8118,Male,Courier,Working Poor
http://www.wikidata.org/entity/Q43396190,Henry Hoggart,Ayton,-2.12301,55.8425,Male,Creelman,Working Poor
http://www.wikidata.org/entity/Q43394136,Christian Gow,Westray,-3,59.3,Female,Domestic Worker,Working Poor
http://www.wikidata.org/entity/Q43395198,Janet Boyd,Craigton,-3.888485,54.929538,Female,Domestic Worker,Working Poor
http://www.wikidata.org/entity/Q43395112,Janet Burton,Keith,-2.9555,57.5428,Female,Domestic Worker,Working Poor
http://www.wikidata.org/entity/Q43392942,Katherine McTeir,Highlees,-4.594676,55.567613,Female,Domestic Worker,Working Poor
http://www.wikidata.org/entity/Q43395940,Janet,Lauderdale,-2.728762,55.711297,Female,Domestic Worker,Working Poor
http://www.wikidata.org/entity/Q43392938,Christane Poock,Forse,-2.812765,58.891955,Female,Domestic Worker,Working Poor
http://www.wikidata.org/entity/Q43395783,Agnes Ross,Ross and Cromarty,-5,57.66666667,Female,Domestic Worker,Working Poor
http://www.wikidata.org/entity/Q43391246,Marion Dikson,Haddington,-2.78332,55.95612,Female,Domestic Worker,Working Poor
http://www.wikidata.org/entity/Q43395078,George Binnie,Haddington,-2.78332,55.95612,Male,Domestic Worker,Working Poor
http://www.wikidata.org/entity/Q43391551,Robert Allane,Dunbar,-2.522777777,55.99833333,Male,Fisher,Working Poor
http://www.wikidata.org/entity/Q43390229,John Weir,"Penston Farm, Penston",-2.8918846,55.940283,Male,Mealmaker,Working Poor
http://www.wikidata.org/entity/Q43392356,Marioun Lynn,Prestonpans,-2.961,55.9597,Female,Midwife,Working Poor
http://www.wikidata.org/entity/Q43402742,Marioun Wod,Aberdeen,-2.1,57.15,Female,Nurse,Working Poor
http://www.wikidata.org/entity/Q43394993,Bessie Roy,Fetternear Palace,-2.4599,57.2437,Female,Nurse,Working Poor
http://www.wikidata.org/entity/Q43396182,Williams Weems,Eyemouth,-2.090555555,55.86944444,Male,Sailor,Working Poor
http://www.wikidata.org/entity/Q43390637,Johne Leyis,Aberdeen,-2.1,57.15,Male,Stabler,Working Poor
http://www.wikidata.org/entity/Q43390141,John Phenick,Cousland,-2.995274,55.904962,Male,Tailor,Working Poor
http://www.wikidata.org/entity/Q43395951,Thomas Govan,Renfrew,-4.366666666,55.86666667,Male,Vagrant,Working Poor
http://www.wikidata.org/entity/Q43390409,William Scott,Corstorphine,-3.28544,55.9429,Male,Weaver,Working Poor
http://www.wikidata.org/entity/Q43391755,Alexander Scott,Edinburgh,-3.198888888,55.95,Male,Weaver,Working Poor
http://www.wikidata.org/entity/Q43392923,Elspeth Wilson,Eyemouth,-2.090555555,55.86944444,Female,Domestic Worker,
http://www.wikidata.org/entity/Q43396234,Law,Panbride,-2.69869,56.5123,,Domestic Worker,
http://www.wikidata.org/entity/Q43395298,Jonet Andirsone,Stirling,-3.9369,56.1166,Female,Domestic Worker,
http://www.wikidata.org/entity/Q43395134,Helen Beatie,"Manor, Scottish Borders",-3.2401353,55.629286,Female,Midwife,
http://www.wikidata.org/entity/Q43396171,Marion Dobie,Haddington,-2.78332,55.95612,Female,Midwife,
http://www.wikidata.org/entity/Q43395286,Margaret Reoch,Lumphanan,-2.68667,57.1281,Female,Vagrant,
http://www.wikidata.org/entity/Q43395301,John Stewart,Irvine,-4.661111111,55.61944444,Male,Vagrant,
http://www.wikidata.org/entity/Q43392634,Isobel Rutherfurde,Peebles,-3.18,55.65,Female,Vagrant,
http://www.wikidata.org/entity/Q43395590,Issobell Monro,Inverness,-4.225833333,57.48388889,Female,Vagrant,
http://www.wikidata.org/entity/Q43392696,Margaret Strudgeoun,Lanark,-3.77702,55.6749,Female,Vagrant,
http://www.wikidata.org/entity/Q43395591,Mary Burges,Inverness,-4.225833333,57.48388889,Female,Vagrant,
http://www.wikidata.org/entity/Q43392655,Alexander Hunter,Haddington,-2.78332,55.95612,Male,Vagrant,
http://www.wikidata.org/entity/Q43395894,Marion Hardie,Elgin,-3.315277777,57.64638889,Female,Vagrant,
http://www.wikidata.org/entity/Q43395148,Agnes Robesoun,Peebles,-3.18,55.65,Female,Vagrant,
http://www.wikidata.org/entity/Q43396155,Margaret Fraser,Aberdeen,-2.1,57.15,Female,Vagrant,
